1.59E+02,0.997967152133119
1.43E+02,0.997773386253052
1.28E+02,0.997450504010495
1.15E+02,0.996804706312171
1.03E+02,0.996352641280702
9.28E+01,0.99596514273378
8.33E+01,0.995125628975206
7.47E+01,0.994544414368036
6.72E+01,0.993640284305097
6.03E+01,0.992929936728831
5.41E+01,0.991509191756481
4.86E+01,0.990605061693542
4.37E+01,0.988732268296328
3.93E+01,0.986730292110201
3.52E+01,0.984147068103692
3.16E+01,0.98027234834017
2.84E+01,0.975945497118754
2.55E+01,0.968712489828454
2.29E+01,0.959929587990103
2.06E+01,0.946884600694156
1.85E+01,0.9281563345899
1.67E+01,0.902324426656924
1.50E+01,0.868484647192653
1.35E+01,0.823531560854908
1.21E+01,0.766577544547221
1.09E+01,0.699543318332032
9.77E+00,0.620434428815783
8.79E+00,0.536285434345783
7.90E+00,0.452138100536393
7.11E+00,0.374191673447698
6.40E+00,0.306252387199628
5.75E+00,0.243610608299982
5.17E+00,0.195305312453294
4.65E+00,0.157138349635485
4.18E+00,0.126462626832954
3.76E+00,0.102826444359566
3.37E+00,0.0846156401016325
3.03E+00,0.0687281000381953
2.71E+00,0.0584602354816746
2.44E+00,0.0481923709251539
2.20E+00,0.0414766594151153
1.96E+00,0.035599581513526
1.76E+00,0.0303037348257136
1.58E+00,0.0268811133068734
1.42E+00,0.0230051314412874
1.27E+00,0.0204875699553281
1.14E+00,0.0182921766278626
1.00E+00,0.0153860205589783
9.00E-01,0.0136423269176478
8.09E-01,0.0125446302539149
7.25E-01,0.010606639321122
6.49E-01,0.00996064234352417
5.79E-01,0.00866864838832888
5.16E-01,0.00724878356610252
4.60E-01,0.00679708387996747
4.12E-01,0.005505089924772
3.70E-01,0.00524602686948872
